word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
loth,lәuθ,s unwillingness to do something contrary to your custom\ns (usually followed by `to') strongly opposed,"a. 不愿意的, 厌恶的",,,,ielts,37266,33209,,,
lottery,'lɒtәri,n. something that is regarded as a chance event\nn. players buy (or are given) chances and prizes are distributed by casting lots,"n. 奖券, 彩票, 运气\n[经] 抽彩给奖法",,1,,ky toefl ielts gre,10483,6027,s:lotteries,,
lounge,laundʒ,n. a room (as in a hotel or airport) with seating where people can wait\nv. sit or recline comfortably,"n. 闲逛, 休闲室, 长沙发\nvi. 闲混, (懒洋洋地)躺\nvt. 闲混",,2,,gk cet6 ky ielts gre,4410,5990,s:lounges/i:lounging/p:lounged/d:lounged/3:lounges,,
low-risk,ləu risk,," [医]低危的, 低风险的",,,,ielts,0,0,,,
loyal,'lɒiәl,a. steadfast in allegiance or duty,"a. 忠诚的, 忠实的, 忠贞的",,2,1,cet4 cet6 ky toefl ielts gre,4461,4770,,,
lubricate,'lu:brikeit,v. have lubricating properties\nv. apply a lubricant to\nv. make slippery or smooth through the application of a lubricant,"vt. 使润滑, 涂油\nvi. 润滑",,1,,cet4 cet6 ky ielts gre,19781,19873,d:lubricated/i:lubricating/3:lubricates/p:lubricated/s:lubricates,,
lucid,'lu:sid,s. having a clear mind,"a. 明晰的, 清澈的, 透明的, 透彻的\n[医] 清明的, 透明的, 清醒的",,1,,ielts gre,14330,15228,,,
luck,lʌk,n. an unknown and unpredictable phenomenon that causes an event to result one way rather than another\nn. an unknown and unpredictable phenomenon that leads to a favorable outcome,"n. 运气, 幸运, 好运, 侥幸\nvi. 靠好运成功",,3,1,zk gk cet4 ky ielts,2598,2384,,,
lucrative,'lu:krәtiv,s. producing a sizeable profit,"a. 有利益的, 获利的, 合算的",,2,,toefl ielts gre,8433,6660,,,
ludicrous,'lu:dikrәs,s broadly or extravagantly humorous; resembling farce\ns incongruous; inviting ridicule,"a. 可笑的, 滑稽的, 荒唐的",,1,,ielts gre,9509,11008,,,
lull,lʌl,n. a period of calm weather\nv. calm by deception\nv. become quiet or less intensive,"n. 暂停, 间歇, 稍息, 使人安静的东西\nvt. 使平静, 哄骗, 使安静\nvi. 变平静",,1,,toefl ielts gre,14132,13314,d:lulled/i:lulling/p:lulled/s:lulls/3:lulls,,
luminous,'lu:minәs,s softly bright or radiant,"a. 发光的, 明亮的\n[医] 发光的",,1,,cet6 toefl ielts,12144,9593,,,
lump,lʌmp,v. put together indiscriminately,"n. 块, 瘤, 很多, 肿块, 笨人\nvt. 使成块状, 混在一起\nvi. 结块",,2,1,cet4 cet6 ky toefl ielts gre,4302,6139,s:lumps/d:lumped/p:lumped/i:lumping/3:lumps,,
lunar,'lu:nә,a. of or relating to or associated with the moon,"a. 阴历的, 月的, 微亮的(指光)\n[医] 月的, 银的",,1,,cet4 cet6 ky toefl ielts gre,12849,6871,,,
lunch,lʌntʃ,n. a midday meal\nv. take the midday meal\nv. provide a midday meal for,n. 午餐,,4,1,zk gk ielts,1615,1586,s:lunches/p:lunched/i:lunching/d:lunched/3:lunches,,
lure,luә,n. qualities that attract by seeming to promise some kind of reward,"n. 饵, 诱惑\nvt. 引诱, 诱惑",,2,,ky toefl ielts gre,8556,5288,d:lured/0:lure/i:luring/s:lures/1:3/p:lured/3:lures,,
lurk,lә:k,"v. lie in wait, lie in ambush, behave in a sneaky and secretive manner","n. 潜伏, 潜行\nvi. 暗藏, 潜伏, 埋伏\n[计] 隐匿阅读",,1,,toefl ielts gre,6914,7183,i:lurking/p:lurked/3:lurks/d:lurked,,
luxury,'lʌkʃәri,n. something that is an indulgence rather than a necessity\nn. wealth as evidenced by sumptuous living,"n. 奢侈, 豪华\na. 奢侈的, 豪华的",,3,,cet4 cet6 ky toefl ielts gre,5235,5575,s:luxuries,,
machine,mә'ʃi:n,n. any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks\nn. an efficient person\nn. an intricate organization that accomplishes its goals efficiently\nn. a device for overcoming resistance at one point by applying force at some other point,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人\nvt. 以机器制造",,4,1,zk gk ielts,761,1022,s:machines/d:machined/i:machining/p:machined/3:machines,,
machines,,"n any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks\nn an efficient person\nn an intricate organization that accomplishes its goals efficiently\nn a device for overcoming resistance at one point by applying force at some other point\nn a group that controls the activities of a political party\nn a motor vehicle with four wheels; usually propelled by an internal combustion engine\nv turn, shape, mold, or otherwise finish by machinery\nv make by machinery",n. 机器；机械（machine的复数）,,,,ielts,0,0,1:s3/0:machine,,
mackintosh,'mækintɒʃ,n. a lightweight waterproof (usually rubberized) fabric,"n. 马金托什防水布, 马金托什雨衣\n[化] 防水胶布; 胶布雨衣",,,,ielts gre,21101,0,s:mackintoshes,,
madden,'mædn,v. cause to go crazy; cause to lose one's mind\nv. drive up the wall; go on someone's nerves\nv. make mad,"vt. 使发狂, 激怒\nvi. 发狂, 发怒",,,,ielts,20519,11276,i:maddening/d:maddened/p:maddened/3:maddens,,
magazine,.mægә'zi:n,n. a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it\nn. product consisting of a paperback periodic publication as a physical object\nn. a business firm that publishes magazines\nn. a light-tight supply chamber holding the film and supplying it for exposure as required,"n. 杂志, 仓库, 弹盒, 胶卷盒\n[计] 卡片箱, 介质装卸程序",,4,1,zk gk cet4 cet6 ky ielts,1479,1001,s:magazines,,
magic,'mædʒik,n. any art that invokes supernatural powers,"n. 魔术, 魔法\na. 魔术的, 有魔力的, 不可思议的",,3,1,zk gk cet4 cet6 ky toefl ielts,3949,3411,s:magics,,
magistrate,'mædʒistreit,n. a lay judge or civil authority who administers the law (especially one who conducts a court dealing with minor offenses),"n. 长官, 法官, 推事\n[法] 司法行政官, 治安法官, 地方法官",,2,,cet6 ky ielts,2844,11049,s:magistrates,,
magnanimous,mæg'nænimәs,s noble and generous in spirit\ns generous and understanding and tolerant,"a. 宽宏大量的, 有雅量的\n[法] 气量大的, 宽大的, 高尚的",,,,ielts gre,20899,23690,,,
magnate,'mægneit,n a very wealthy or powerful businessman,"n. 大官, 巨头\n[法] 大官, 权贵, 大资本家",,1,,ielts gre,10392,16243,s:magnates,,
magnetic,mæg'netik,a. of or relating to or caused by magnetism\na. having the properties of a magnet; i.e. of attracting iron or steel\na. capable of being magnetized\na. determined by earth's magnetic fields,"a. 有磁性的, 有吸引力的, 催眠术的\n[医] 磁[性]的",,2,,cet4 cet6 ky toefl ielts,4418,4830,s:magnetics,,
magnificent,mæg'nifisnt,s characterized by grandeur,"a. 华丽的, 高尚的, 宏伟的",,2,,cet4 cet6 ky toefl ielts gre,3533,5493,,,
magnify,'mægnifai,"v. increase in size, volume or significance","vt. 放大, 扩大, 赞美, 夸大\nvi. 有放大能力",,1,,cet6 ky toefl ielts gre,11203,9568,d:magnified/3:magnifies/i:magnifying/p:magnified,,
magnitude,'mægnitju:d,n. the property of relative size or extent (whether large or small)\nn. relative importance,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)\n[计] 大小; 值",,1,,cet6 ky toefl ielts gre,5792,3971,s:magnitudes,,
maid,meid,n. a female domestic\nn. an unmarried girl (especially a virgin),"n. 少女, 未婚女子, 女仆",,2,,gk cet4 cet6 ky ielts,5166,6044,s:maids,,
maiden,'meidn,n an unmarried girl (especially a virgin)\nn (cricket) an over in which no runs are scored\ns serving to set in motion,"n. 年轻未婚女子, 少女, 处女\na. 未婚的, 处女的, 初次的, 无经验的",,1,,cet6 ky ielts,11516,14342,s:maidens,,
mail,meil,n. the bags of letters and packages that are transported by the postal service\nn. the system whereby messages are transmitted via the post office\nn. a conveyance that transports the letters and packages that are conveyed by the postal system\nn. any particular collection of letters or packages that is delivered,"n. 邮件, 邮政, 邮递, 盔甲\nvt. 邮寄, 给...穿盔甲\n[计] 邮件",,3,1,zk gk ielts,2485,2508,d:mailed/s:mails/i:mailing/p:mailed/3:mails,,
mails,,n the bags of letters and packages that are transported by the postal service\nn the system whereby messages are transmitted via the post office\nn a conveyance that transports the letters and packages that are conveyed by the postal system\nn any particular collection of letters or packages that is delivered\nn (Middle Ages) flexible armor made of interlinked metal rings\nv send via the postal service\nv cause to be directed or transmitted to another place,n. 邮件（mail的复数形式）,,,,ielts,0,0,1:s3/0:mail,,
maim,meim,v. injure or wound seriously and leave permanent disfiguration or mutilation,"vt. 使残废, 使不能工作, 使伤残\n[医] 伤残, 残废",,1,,toefl ielts gre,19206,16796,d:maimed/i:maiming/3:maims/p:maimed/s:maims,,
main,mein,n. any very large body of (salt) water\nn. a principal pipe in a system that distributes water or gas or electricity or that collects sewage\ns. of force; of the greatest possible intensity,"n. 主要部分, 干线, 体力, 力量, 主群组\na. 主要的, 重要的, 全力的\n[计] 主群组",,5,1,zk gk cet4 cet6 ky ielts,376,888,,,
maintain,mein'tein,v. state or assert,"vt. 维持, 维修, 保持, 坚持, 供养, 主张\n[化] 维修",,4,1,cet4 cet6 ky toefl ielts,825,922,d:maintained/i:maintaining/p:maintained/3:maintains,,
maintenance,'meintәnәns,n. means of maintenance of a family or group\nn. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养\n[计] 维护; 维修",,2,,cet4 cet6 ky toefl ielts gre,2198,3067,,,
maize,meiz,n tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times\nn a strong yellow color,"n. 玉蜀黍, 黄色\na. 玉蜀黍色的, 黄色的",,1,,toefl ielts gre,12455,13829,,,
majestic,mә'dʒestik,s. majestic in manner or bearing; superior to mundane matters,"a. 宏伟的, 庄严的",,1,,toefl ielts gre,11701,10534,,,
major,'meidʒә,n. a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain\nn. British statesman who was prime minister from 1990 until 1997 (born in 1943)\nn. a university student who is studying a particular field as the principal subject\nn. the principal field of study of a student at a university,"n. 主修课, 成年人, 陆军少校\na. 主要的, 较多的, 大部分的, 成年的, 严重的\nvi. 主修\n[计] 主要, 主要刻度",,5,1,gk cet4 cet6 ky toefl ielts,392,444,s:majors/i:majoring/p:majored/3:majors/d:majored,,
majority,mә'dʒɒriti,n. the property resulting from being or relating to the greater in number of two parts; the main part\nn. (elections) more than half of the votes\nn. the age at which persons are considered competent to manage their own affairs,"n. 多数, 大半\n[计] 多数逻辑",,4,1,gk cet4 cet6 ky toefl ielts,989,1085,s:majorities,,
majors,,n the most important league in any sport (especially baseball)\nn a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain\nn British statesman who was prime minister from 1990 until 1997 (born in 1943)\nn a university student who is studying a particular field as the principal subject\nn the principal field of study of a student at a university\nv have as one's principal field of study,n. 专业；主修（major的复数）,,,,ielts,0,0,1:s3/0:major,,
make,meik,v. engage in\nv. give certain properties to something\nv. make or cause to be or to become\nv. compel or make somebody or something to act in a certain way,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行\nvi. 开始, 前进, 增大, 被制造, 被处理\nn. 制造, 构造, 性情",,3,1,zk gk ielts,43,45,d:made/p:made/i:making/3:makes,,
making,'meikiŋ,n. (usually plural) the components needed for making or doing something,"n. 制造, (手工)制造业, 制作, 形成, 发展, 要素, 内在因素, 赚头, 制造物",,2,,ielts,4480,5042,0:make/1:i/i:making/s:makings,,
malaria,mә'lєәriә,n. an infective disease caused by sporozoan parasites that are transmitted through the bite of an infected Anopheles mosquito; marked by paroxysms of chills and fever,"n. 疟疾, 瘴气\n[医] 疟[疾]",,1,,ielts,12432,9136,s:malarias,,
Malaysia,mә'leiziә,n. a constitutional monarchy in southeastern Asia on Borneo and the Malay Peninsula; achieved independence from the United Kingdom in 1957,n. 马来西亚\n[经] 马来西亚,,,,ielts,7373,0,,,
male,meil,n. an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova)\nn. a person who belongs to the sex that cannot have babies\nn. the capital of Maldives in the center of the islands\na. being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation,"n. 男人, 雄性动物\na. 男性的, 雄性的, 有力的",,4,1,gk cet4 ky ielts,1126,1530,s:males,,
malice,'mælis,n. feeling a need to see others suffer,"n. 恶意, 蓄意害人, 怨恨\n[法] 预谋, 蓄意, 恶意",,1,,cet6 toefl ielts gre,11521,13560,s:malices,,
malignant,mә'lignәnt,a. dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor),"a. 有恶意的, 恶性的, 有害的\n[化] 恶性的",,1,,ky toefl ielts gre,10474,12287,s:malignants,,
mall,mɔ:l,n a public area set aside as a pedestrian walk\nn mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace,n. 林荫路,,1,1,cet6 toefl ielts,11507,3050,s:malls/i:malling,,
malleable,'mæliәbl,s easily influenced\ns capable of being shaped or bent or drawn out,"a. 有延展性的, 可锻的\n[医] 可展的, 易适应的",,,,toefl ielts gre,19483,18412,,,
malnutrition,.mælnju:'triʃәn,n. a state of poor nutrition; can result from insufficient or excessive or unbalanced diet or from inability to absorb foods,"n. 营养失调, 营养不良\n[医] 营养不良",,1,,toefl ielts,15475,13854,,,
maltreat,mæl'tri:t,v treat badly,"vt. 虐待, 滥用\n[法] 粗暴对待, 虐待, 乱用",,,,ky ielts,37045,36572,d:maltreated/p:maltreated/i:maltreating/3:maltreats,,
mammal,mæmәl,n. any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk,n. 哺乳动物\n[化] 哺乳动物,,1,,cet6 ky toefl ielts gre,5214,6146,s:mammals,,
manacle,'mænәkl,v. confine or restrain with or as if with manacles or handcuffs,"n. 手铐, 束缚\nvt. 给...上手铐, 束缚",,,,ielts gre,37326,32808,s:manacles/p:manacled/d:manacled/i:manacling/3:manacles,,
management,'mænidʒmәnt,n. the act of managing something\nn. those in charge of running a business,"n. 经营, 支配, 管理\n[化] 管理处",,4,1,cet4 cet6 ky ielts,446,906,s:managements,,
manager,'mænidʒә,n someone who controls resources and expenditures\nn (sports) someone in charge of training an athlete or a team,"n. 经理, 管理员, 管理器\n[计] 管理器",,4,1,zk gk ielts,508,877,s:managers,,
mandate,'mændeit,n. a document giving an official instruction or command\nn. a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves\nn. the commission that is given to a government and its policies through an electoral victory,"n. 命令, 指令, 要求\nvt. 委任统治",,,,toefl ielts gre,7252,3724,s:mandates/d:mandated/i:mandating/p:mandated/3:mandates,,
mandatory,'mændәtәri,n the recipient of a mandate\nn a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves\ns required by rule,"a. 命令的, 托管的\n[经] 受托者, 命令者",,1,,toefl ielts gre,5806,5119,,,
maneuver,mә'nu:vә,n. a military training exercise\nn. a deliberate coordinated movement requiring dexterity and skill\nn. a move made to gain a tactical end,"n. 演习, 调遣, 策略\nv. 调遣, 演习, 用计",,,,ky toefl ielts gre,0,7199,s:maneuvers/p:maneuvered/i:maneuvering/3:maneuvers/d:maneuvered,,
mania,'meiniә,n. an irrational but irresistible motive for a belief or action\nn. a mood disorder; an affective disorder in which the victim tends to respond excessively and sometimes violently,"n. 狂躁, 热衷, 狂热\n[医] 躁狂, 狂",,1,,ky toefl ielts gre,14608,12415,s:manias,,
maniac,'meiniæk,n. a person who has an obsession with or excessive enthusiasm for something,"a. 发狂的, 癫狂的, 疯狂的\nn. 狂人, 疯子",,1,,ielts,14885,15044,s:maniacs,,
manifest,'mænifest,n. a customs document listing the contents put on a ship or plane\nv. record in a ship's manifest\nv. reveal its presence or make an appearance,"n. 载货单, 运货单, 旅客名单\na. 显然的, 明白的\nvi. 显示, 出现\nvt. 表明, 表现, 证明",,2,,cet6 ky ielts gre,6436,5931,d:manifested/3:manifests/p:manifested/i:manifesting,,
manifold,'mænifәuld,n. a pipe that has several lateral outlets to or from other pipes\nn. a set of points such as those of a closed surface or an analogue in three or more dimensions\nv. make multiple copies of,"n. 复印本, 多种\na. 多种的, 有许多部分的, 多方面的\nvt. 复写, 使多样化, 增多",,,,toefl ielts gre,19661,21492,s:manifolds/i:manifolding/p:manifolded/3:manifolds/d:manifolded,,
manipulate,mә'nipjuleit,"v. influence or control shrewdly or deviously\nv. hold something in one's hands and move it\nv. control (others or oneself) or influence skillfully, usually to one's advantage\nv. treat manually, as with massage, for therapeutic purposed","vt. 操纵, 利用, 操作, 巧妙地处理, 假造",,2,,cet6 ky toefl ielts gre,4688,4248,d:manipulated/i:manipulating/p:manipulated/3:manipulates,,
mannerism,'mænәrizm,n a behavioral attribute that is distinctive and peculiar to an individual\nn a deliberate pretense or exaggerated display,"n. 矫揉造作, 习性\n[医] 装相, 作态",,,,toefl ielts,14842,17874,s:mannerisms,,
mansion,'mænʃәn,n. a large and imposing house,"n. 大厦, 宅邸",,2,,cet6 toefl ielts gre,6435,4761,s:mansions,,
mantle,'mæntl,n. the cloak as a symbol of authority\nn. United States baseball player (1931-1997)\nn. the layer of the earth between the crust and the core\nn. (zoology) a protective layer of epidermis in mollusks or brachiopods that secretes a substance forming the shell,"n. 斗篷, 罩子, 披风\nvt. 罩住, 覆盖\nvi. 覆盖, 脸红",,1,,toefl ielts gre,7950,9827,s:mantles/p:mantled/i:mantling/d:mantled/3:mantles,,
manual,'mænjuәl,n. a small handbook\na. of or relating to the hands\na. requiring human effort\ns. doing or requiring physical work,"n. 手册, 指南\na. 手的, 手动的, 手工的, 体力的\n[计] 人工的, 手动的",,2,,cet4 cet6 ky toefl ielts,4380,4937,s:manuals,,
manufacture,.mænju'fæktʃә,"v. put together out of artificial or natural components or parts; He manufactured a popular cereal""\nv. produce naturally\nv. create or produce in a mechanical way","n. 产品, 制造\nvt. 制造, 假造\nvi. 制造",,3,1,cet4 cet6 ky toefl ielts,4506,5134,d:manufactured/3:manufactures/i:manufacturing/s:manufactures/p:manufactured,,
manure,mә'njuә,"n. any animal or plant material used to fertilize land especially animal excreta usually with litter material\nv. spread manure, as for fertilization","n. 肥料, 粪肥\nvt. 施肥于",,1,,toefl ielts gre,12125,9810,s:manures/d:manured/i:manuring/3:manures/p:manured,,
manuscript,'mænjuskript,n. the form of a literary work submitted for publication\nn. handwritten book or document,"n. 手稿, 原稿, 底稿\na. 手写的",,2,,cet6 ky ielts gre,4595,5114,s:manuscripts,,
map,mæp,n. a diagrammatic representation of the earth's surface (or part of it)\nv. make a map of; show or establish the features of details of\nv. explore or survey for the purpose of making a map\nv. locate within a specific region of a chromosome in relation to known DNA or gene sequences,"n. 地图, 天体图, 映像\nvt. 映射, 绘制...地图, 计划\n[计] 实用程序, 映射, 制造自动化协议",,3,1,zk gk toefl ielts,1681,1542,s:maps/d:mapped/i:mapping/p:mapped/3:maps,,
mar,mɑ:,v. make imperfect,"vt. 损毁, 损伤, 糟蹋\nn. 三月",,2,,ielts gre,8460,8573,d:marred/p:marred/3:mars/i:marring,,
marble,'mɑ:bl,n. a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material\nn. a small ball of glass that is used in various games\nn. a sculpture carved from marble\nv. paint or stain like marble,"n. 大理石, 石弹, 雕刻品\na. 大理石的, 冷酷无情的, 有大理石花纹的",,2,,gk cet4 cet6 ky toefl ielts gre,4199,4819,s:marbles/i:marbling/p:marbled/3:marbles/d:marbled,,
march,mɑ:tʃ,n. the month following February and preceding April\nn. the act of marching; walking with regular steps (especially in a procession of some kind)\nn. a steady advance\nn. a procession of people walking together,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界\nvi. 进军, 前进, 交界\nvt. 使行军, 使行进",,3,1,zk gk toefl ielts,695,3483,p:marched/s:marches/i:marching/d:marched/3:marches,,
margin,'mɑ:dʒin,n. the boundary line or the area immediately inside the boundary\nn. an amount beyond the minimum necessary\nn. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities\nn. the blank space that surrounds the text on a page,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金\nvt. 加边于, 加旁注于\n[计] 页边距",,3,,cet4 cet6 ky toefl ielts gre,2962,3308,s:margins,,
marginal,'mɑ:dʒinәl,s. producing at a rate that barely covers production costs,"a. 边缘的, 最低限度的, 有旁注的\n[医] 缘的",,2,,cet6 ky ielts gre,3361,6094,s:marginals,,
marine,mә'ri:n,n. a member of the United States Marine Corps\nn. a soldier who serves both on shipboard and on land\na. of or relating to the sea\na. of or relating to military personnel who serve both on land and at sea (specifically the U.S. Marine Corps),"n. 舰队, 水兵, 海景画\na. 海的, 海产的, 海底的, 船舶的, 海运的",,3,,cet4 cet6 ky toefl ielts gre,3580,4916,s:marines,,
marital,'mæritәl,a. of or relating to the state of marriage,"a. 丈夫的, 婚姻的, 夫妇间的\n[医] 婚姻的",,1,,ky toefl ielts gre,6890,6246,,,
maritime,'mæritaim,s. bordering on or living or characteristic of those near the sea,"a. 海的, 海上的, 海事的, 沿海的, 海员的\n[经] 海事的, 海上的, 海员的",,1,,cet6 toefl ielts gre,7994,9625,s:maritimes,,
market,'mɑ:kit,"n. the world of commercial activity where goods and services are bought and sold\nn. the customers for a particular product or service\nn. the securities markets in the aggregate\nv. engage in the commercial promotion, sale, or distribution of","n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路\nvt. 在市场上交易, 使上市, 销售\nvi. 在市场上买卖",,5,1,zk gk ielts,253,402,s:markets/d:marketed/p:marketed/i:marketing/3:markets,,
marketing,'mɑ:kitiŋ,n. the commercial processes involved in promoting and selling and distributing a product or service\nn. shopping at a market,"n. 行销, 买卖\n[经] 推销, 在市场买卖, 销售",,,1,ielts,1872,2292,i:marketing/0:marketing/1:i,,
marks,,n. English businessman who created a retail chain (1888-1964),"n. 标记, 记号；唛头, 分数；台面标志",,,,ielts,6038,0,0:mark/1:s3,,
marrow,'mærәu,n. the fatty network of connective tissue that fills the cavities of bones\nn. any of various squash plants grown for their elongated fruit with smooth dark green skin and whitish flesh\nn. very tender and very nutritious tissue from marrowbones\nn. large elongated squash with creamy to deep green skins,"n. 髓, 骨髓, 精华, 活力, 配偶\n[医] 髓(尤指骨髓)",,1,,toefl ielts gre,11814,9735,s:marrows,,
marsh,mɑ:ʃ,n. low-lying wet land with grassy vegetation; usually is a transition zone between land and water\nn. United States painter (1898-1954)\nn. New Zealand writer of detective stories (1899-1982),"n. 沼泽, 湿地\na. 沼泽的",,1,,cet6 toefl ielts gre,6540,6794,s:marshes,,
martial,'mɑ:ʃәl,n. Roman poet noted for epigrams (first century BC)\ns. of or relating to the armed forces,"a. 战争的, 军事的, 尚武的, 威武的\n[医] 含铁的",,2,,ielts gre,8789,7965,p:martialled/s:martials,,
martyr,'mɑ:tә,n. one who suffers for the sake of principle\nn. one who voluntarily suffers death as the penalty for refusing to renounce their religion\nv. kill as a martyr\nv. torture and torment like a martyr,"n. 烈士, 受苦者, 受难者\nvt. 使成为烈士, 使受苦",,1,,cet6 ielts gre,8636,8377,s:martyrs/d:martyred/i:martyring/p:martyred/3:martyrs,,
marvel,'mɑ:vl,v. express astonishment or surprise about something,"n. 奇异事物, 罕见例子\nvt. 惊异于\nvi. 惊异",,1,,cet6 toefl ielts gre,11744,7805,p:marvelled/s:marvels/i:marvelling/d:marvelled/3:marvels,,
marvelous,'mɑ:vәlәs,s. being or having the character of a miracle,"a. 令人惊异的, 了不起的, 不平常的",,,,cet4 ky toefl ielts,0,6935,,,
masculine,'mæskjulin,n. a gender that refers chiefly (but not exclusively) to males or to objects classified as male\na. of grammatical gender\na. associated with men and not with women\ns. (music or poetry) ending on an accented beat or syllable,"n. 阳性, 男性\na. 男性的, 阳性的, 有丈夫气的",,1,,cet6 ky ielts,7201,7215,s:masculines,,
mask,mæsk,n. a covering to disguise or conceal the face\nn. activity that tries to conceal something\nn. a protective covering worn over the face\nv. put a mask on or cover with a mask,"n. 面具, 假面具, 掩饰, 石膏面模\nvt. 戴面具, 掩饰, 使模糊\nvi. 化装, 戴面具, 掩饰, 参加化装舞会\n[计] 屏蔽; 掩码",,3,,gk cet4 cet6 ky toefl ielts gre,4312,2893,s:masks/d:masked/3:masks/p:masked/i:masking,,
mass,mæs,n. the property of a body that causes it to have weight in a gravitational field\nn. an ill-structured collection of similar things (objects or people)\nn. (Roman Catholic Church and Protestant Churches) the celebration of the Eucharist\nn. a body of matter without definite shape,"n. 块, 大多数, 质量, 大量, 群众, 弥撒\na. 群众的, 大规模的, 整个的\nvt. 使集合, 集中\nvi. 聚集",,4,1,gk cet4 cet6 ky toefl ielts,1857,1989,s:masses/i:massing/d:massed/p:massed/3:masses,,
massacre,'mæsәkә,v. kill a large number of people indiscriminately,"n. 大屠杀\nvt. 大屠杀, 残杀",,2,,cet6 ky ielts gre,7134,6457,s:massacres/3:massacres/i:massacring/p:massacred/d:massacred,,
massive,'mæsiv,s. imposing in size or bulk or solidity\ns. being the same substance throughout\ns. imposing in scale or scope or degree or power\ns. consisting of great mass; containing a great quantity of matter,"a. 大而重的, 宽大的, 宏伟的\n[医] 大块的, 整块的, 大量的",,3,1,cet4 cet6 ky toefl ielts gre,2037,1996,,,
master,'mɑ:stә. 'mæstә,"n. directs the work of others\nn. an original creation (i.e., an audio recording) from which copies can be made\nn. an officer who is licensed to command a merchant ship\nn. someone who holds a master's degree from academic institution","n. 主人, 硕士, 大师, 母机\na. 主人的, 主要的\nvt. 征服, 控制, 精通",,4,1,zk gk cet4 cet6 ky ielts,1224,1883,s:masters/d:mastered/i:mastering/p:mastered/3:masters,,
masterpiece,'mɑ:stәpi:s,n. the most outstanding work of a creative artist or craftsman\nn. an outstanding achievement,"n. 杰作, 名著",,2,,cet4 cet6 ky toefl ielts,7693,7685,s:masterpieces,,
match,mætʃ,n. lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction\nn. a formal contest in which two or more persons or teams compete\nn. a burning piece of wood or cardboard\nn. an exact duplicate,"n. 比赛, 火柴, 对手\nvt. 使相配, 使比赛, 与...竞争\nvi. 结婚, 相配\n[计] 比较",,5,1,zk gk toefl ielts,1097,1972,s:matches/d:matched/3:matches/i:matching/p:matched,,
matching,'mætʃiŋ,"v be compatible, similar or consistent; coincide in their characteristics\nv provide funds complementary to\nv bring two objects, ideas, or people together\nv be equal to in quality or ability\nv make correspond or harmonize\nv satisfy or fulfill\nv give or join in marriage\nv set into opposition or rivalry\nv be equal or harmonize\nv make equal, uniform, corresponding, or matching\ns being two identical\ns intentionally matched","a. 相同的, 协调的\n[计] 匹配, 对比",,1,1,toefl ielts,6342,6593,0:match/1:i/i:matching/s:matchings,,
material,mә'tiәriәl,n. the tangible substance that goes into the makeup of a physical object\nn. information (data or ideas or observations) that can be used or reworked into a finished form\nn. things needed for doing or making something\nn. a person judged suitable for admission or employment,"n. 材料, 物资, 素材, 布料, 资料\na. 物质的, 肉体的, 重要的",,4,1,gk cet4 cet6 ky ielts,499,641,s:materials,,
materials,,n the tangible substance that goes into the makeup of a physical object\nn information (data or ideas or observations) that can be used or reworked into a finished form\nn artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers\nn things needed for doing or making something\nn a person judged suitable for admission or employment,n. 材料；材料费；材料科学；材质（material的复数）,,,,ielts,0,0,0:material/1:s,,
maternal,mә'tә:nl,a. characteristic of a mother\na. relating to or derived from one's mother,"a. 母亲的, 母系的, 母方的\n[医] 属母的, 母的, 母性的",,1,,toefl ielts gre,7230,7048,,,
mathematic,",mæθə'mætik",a. See Mathematical.,[计] 数学的,,,,ielts,0,44241,,,
